Full Name,Distance,Stroke,pool,Strategy,Final time in seconds,"add splits per 50 with (;) between them
 (eg. ""33.46; 35.67; 36.88; 33.84"")
 do not put words in this question",notes,athlete age,Country,IM stroke labels
Anshul ,100,Breaststroke,LCM,Holding_pace,71.38,32.10;39.28,"World Record, World Championships 2015",20,Great Britain,
savali patil,100,Breaststroke,LCM,Don't Know,88.79,40.46;48.33,European Championships 2021,22,Italy,
Aryan Pramod Gaikwad ,50,Breaststroke,SCM,Holding_pace,32,32,Olympics 2012,24,South Africa,
Shlok Santosh Khopade ,200,Breaststroke,LCM,Holding_pace,146.68,33.6;37.8;37.4;37.8,European Championships 2018,30,Italy,
Sridhar Ananth,100,Breaststroke,LCM,Holding_pace,72.5,33.46;39.04,Commonwealth Games 2022,28,Great Britain,
Srish Maulik,100,Breaststroke,LCM,U_shaped,66.6,31.3;35.3,"World Record, World Championships 2019",24,Great Britain,
Bhuvan,50,Breaststroke,LCM,Don't Know,32,32,Olympics Tokyo 2020,26,Netherlands,
ANTRA SINGh ,200,Breaststroke,LCM,Don't Know,166,42;41;42;41,World Championships 2022,28,Great Britain,
Shreyas Madhukar Chavan,50,Breaststroke,SCM,Don't Know,31.58,31.58,Asian Games 2018,23,China,
Shrish Maulik,50,Breaststroke,LCM,All-out sprint,29,29,World Championships 2022,22,Italy,
Deepak Patil,50,Breaststroke,LCM,All-out sprint,29,29,"World Record, Australian Championships 2022",23,Australia,
Rupak,50,Breaststroke,LCM,All-out sprint,32,32,World Championships 2019,20,Australia,
Aryan Pramod Gaikwad ,50,Breaststroke,LCM,All-out sprint,37,37,Japanese Nationals 2017,22,Japan,
Hrishikesh Karmalkar,50,Breaststroke,LCM,All-out sprint,28,28,World Championships 2019,22,Russia,
Hrishikesh Karmalkar,50,Breaststroke,LCM,All-out sprint,40,40,Japanese Nationals 2012,18,Japan,
Hrishikesh Karmalkar,50,Breaststroke,LCM,All-out sprint,35,35,World Championships 2023,26,Lithuania,
Hrishikesh Karmalkar,100,Breaststroke,LCM,Holding_pace,82,39;43,European Championships 2021,16,Italy,
Hrishikesh Karmalkar,100,Breaststroke,LCM,Holding_pace,80,38;42,World Championships 2017,20,USA,
Hrishikesh Karmalkar,100,Breaststroke,LCM,Holding_pace,78,37;41,European Championships 2021,22,Sweden,
Hrishikesh Karmalkar,100,Breaststroke,LCM,Holding_pace,77,37;40,World Championships 2019,27,Russia,
Hrishikesh Karmalkar,100,Breaststroke,LCM,Holding_pace,75,36;39,World Championships 2017,20,USA,
Hrishikesh Karmalkar,100,Breaststroke,LCM,Holding_pace,73,35;38,Olympics Tokyo 2020,24,South Africa,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,170,43;42;43;42,World Championships 2013,16,Lithuania,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,168,42;42;42;42,European Championships 2021,16,Italy,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,165,41;41;42;41,World Championships 2015,23,Russia,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,152,38;38;38;38,"World Record, Olympics Tokyo 2020",24,South Africa,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,159,40;40;40;39,US Trials 2021,24,USA,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,158,39;40;39;40,European Championships 2021,25,Great Britain,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,156,39;39;39;39,Olympics Rio 2016,27,Japan,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,155,39;39;39;38,US Trials 2021,26,USA,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,153,38;38;39;38,,,,
Deepak Patil,200,Breaststroke,LCM,Holding_pace,152,38;38;38;38,,,,
