Full Name,Distance,Stroke,pool,Strategy,Final time in seconds,"add splits per 50 with (;) between them
 (eg. ""33.46; 35.67; 36.88; 33.84"")
 do not put words in this question",notes,athlete age,Country,IM stroke labels
Bhavya Kathuria,50,Butterfly,LCM,Negative_split,26.71,26.71,"World Record, Rome 2018",26,Ukraine,
Aryan anil chikane ,50,Butterfly,LCM,U_shaped,31,31,World Championships Gwangju 2019 ‚Äì WR,22,USA,
Anish Aniruddha Kore,200,Butterfly,LCM,Holding_pace,127.64,28.14;33.40;33.28;32.82,Paris 2024 Olympics,25,France,
Siddharth Mishra ,100,Butterfly,SCM,Don't Know,62,28;34,Hungarian Nationals 2021,21,Hungary,
Dhruti Shroff,100,Butterfly,LCM,Negative_split,72.89,33:30;39:59,World Championships Rome 2009,24,USA,
Saksham naik,100,Butterfly,LCM,Don't Know,70.01,31.56;38.45,Paris 2024 Olympics,23,Switzerland,
Pratik Pravin Warang ,50,Butterfly,LCM,Negative_split,33.84,33.84,"World Record, World Championships Kazan 2015",22,Sweden,
Hrishikesh Karmalkar,50,Butterfly,LCM,all-out,33.21,33.21,US Olympic Trials 2024 ‚Äì WR,21,USA,
Hrishikesh Karmalkar,50,Butterfly,LCM,all-out,33.11,33.11,World Championships Kazan 2015,22,Sweden,
Hrishikesh Karmalkar,50,Butterfly,LCM,all-out,33,33,World Championships Budapest 2022,20,USA,
Hrishikesh Karmalkar,50,Butterfly,LCM,all-out,32.57,32.57,Tokyo 2020 Olympics,21,Canada,
Hrishikesh Karmalkar,50,Butterfly,LCM,all-out,32.32,32.32,Chinese National Games 2021,23,China,
Hrishikesh Karmalkar,50,Butterfly,LCM,all-out,31.98,31.98,"World Record, World Championships Gwangju 2019",19,Hungary,
Hrishikesh Karmalkar,50,Butterfly,LCM,all-out,31.11,31.11,Olympic Games Paris 2024,22,France,
Hrishikesh Karmalkar,100,Butterfly,LCM,Holding_pace,82,37;45,World Championships Rome 2009,24,USA,
Hrishikesh Karmalkar,100,Butterfly,LCM,Holding_pace,80,37;43,US Nationals 2019,17,USA,
Hrishikesh Karmalkar,100,Butterfly,LCM,Holding_pace,79,37;41,Japanese Nationals 2018,24,Japan,
Hrishikesh Karmalkar,100,Butterfly,LCM,Holding_pace,77,35;42,"World Record, National Games Jinan 2009",20,China,
Hrishikesh Karmalkar,100,Butterfly,LCM,Holding_pace,75,35;40,Canadian Trials 2023,16,Canada,
Hrishikesh Karmalkar,100,Butterfly,LCM,Holding_pace,72,34;38,World Championships Rome 2009,22,Australia,
Hrishikesh Karmalkar,100,Butterfly,LCM,Holding_pace,70,31.5;38.5,US Nationals 2022,20,USA,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,182,46;45;46;45,Tokyo 2020 Olympics,23,China,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,177,44;44;45;44,,,,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,175,44;43;44;44,,,,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,170,43;42;43;42,,,,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,165,41;41;42;41,,,,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,163,41;40;41;41,,,,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,160,40;40;40;40,,,,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,157,39;39;40;39,,,,
Hrishikesh Karmalkar,200,Butterfly,LCM,Holding_pace,155,39;39;39;38,,,,
,,,,,,,,,,
,,,,,,,,,,
