Full Name,Distance,Stroke,pool,Strategy,Final time in seconds,"add splits per 50 with (;) between them
 (eg. ""33.46; 35.67; 36.88; 33.84"")
 do not put words in this question",notes,athlete age,Country,IM stroke labels
Anvesh Singh�,1500,Freestyle,LCM,Holding_pace,1021,32;34;34;33;33;34;33;34;34;33;35;35;34;34;35;35;36;33;34;34;34;34;35;36;34;35;36;33;33;32,Olympic Games Paris 2024 – Final (31 Jul 2024),19,China,
Longjam Rakesh Singh�,100,Freestyle,LCM,Don't Know,68.33,32.07;36.26,World Aquatics Championships Singapore 2025 – Final (31 Jul 2025),20,Romania,
Aaron Antony Joseph�,50,Freestyle,LCM,Don't Know,26.07,26.07,World Aquatics Championships Singapore 2025 – Final (30–31 Jul 2025),22,USA,
Ananthu CV,400,Freestyle,LCM,Don't Know,261,28;30;34;34;34;35;34;32,World Championships Rome 2009 – Final (30 Jul 2009),22,Brazil,
Vivek K,200,Freestyle,LCM,U_shaped,189,45;45;49;50,French Championships Montpellier 2009 (23 Apr 2009),25,France,
Manon�,200,Freestyle,LCM,U_shaped,135,30;32;36;35,World Championships Budapest 2017 – 4×100 FR relay lead-off WR (23 Jul 2017),23,Sweden,
Prayash Gogoi,200,Freestyle,LCM,Holding_pace,123,"27.9,31.4,32.5,30.6","Tokyo 2020 Olympics (1 Aug 2021) – Final, Olympic Record",27,Australia,
Pratik Nagar,100,Freestyle,LCM,U_shaped,57.63,27.54,World Aquatics Championships Doha 2024 – Final (Feb 2024),26,Hong Kong,
Madhav Nileshbhai Daudiya�,50,Freestyle,LCM,Don't Know,25.82,11.5,Pan Pacific Championships Tokyo 2018 – Final (Aug 2018),26,Australia,
Kunal Chauhan,200,Freestyle,LCM,Holding_pace,148.4,32;38.05;39.20;39.15,World Championships Gwangju 2019 – Final (Jul 2019),22,USA,
Sai Smaran Nalluri�,1500,Freestyle,LCM,Holding_pace,1095,36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37;36;37,World Championships Rome 2009 – Final (28 Jul 2009),22,Germany,
Aarya Amit Paste,100,Freestyle,LCM,Don't Know,71,33.6;37.4,Olympic Games Beijing 2008 – Final (12 Aug 2008),23,USA,
Arjun Ranjit Yeolekar�,50,Freestyle,LCM,Holding_pace,29.34,29.34,European Championships Rome 2022 – Final (15 Aug 2022),17,Romania,
Xavier dsouza,100,Freestyle,LCM,Holding_pace,52.44,25.75; 26.66,Olympic Games London 2012 – Final (30 Jul 2012),20,France,
Anusha prasad gaonkar�,50,Freestyle,LCM,Don't Know,31.56,31.56,US National Championships 2025 – Final (4 Jun 2025),21,USA,
Dhinidhi Desinghu�,200,Freestyle,LCM,Holding_pace,2.02.97,"29.9,30,30,31",Australian Olympic Trials Brisbane 2024 – Final (12 Jun 2024),23,Australia,
Swayam Salian,50,Freestyle,LCM,Don't Know,33.46,33.46,Australian Olympic Trials Brisbane 2024 – Final (12 Jun 2024),20,Australia,
Anvesh Singh�,1500,Freestyle,LCM,Holding_pace,999,33;34;33;34;33;34;33;34;33;34;33;33;33;33;33;33;33;33;33;33;34;34;34;34;34;34;34;34;34;33,World Championships Rome 2009 – Final (29 Jul 2009),20,Italy,
Hrishikesh Karmalkar,1500,Freestyle,LCM,Holding_pace,1250,42;41;42;41;42;41;42;41;42;41;42;42;42;42;42;42;42;42;42;42;41;41;41;41;41;41;41;41;41;41,Olympic Games London 2012 – Final (31 Jul 2012),22,USA,
Hrishikesh Karmalkar,1500,Freestyle,LCM,Holding_pace,1233,41;42;40;43;41;42;41;40;43;41;41;42;41;40;43;41;41;42;41;40;43;41;41;42;41;40;43;41;41;42,World Championships Fukuoka 2023 – Final (Jul 2023),16,Canada,
Hrishikesh Karmalkar,1500,Freestyle,LCM,Holding_pace,1267,42;43;41;42;43;42;44;42;43;41;42;43;42;40;42;43;41;42;43;42;42;43;42;43;42;42;43;42;42;43,"World Record, World Championships Rome 2009",22,Brazil,
Anvesh Singh�,1500,Freestyle,LCM,Holding_pace,1275,42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43;42;43,French Championships Montpellier 2009,28,France,
Hrishikesh Karmalkar,1500,Freestyle,LCM,Holding_pace,1204,39;41;40;42;40;41;39;43;40;40;41;40;39;42;40;41;40;40;39;42;40;41;40;40;41;40;39;42;40;40,World Championships Gwangju 2019,22,USA,
Hrishikesh Karmalkar,1500,Freestyle,LCM,Holding_pace,1190,39;40;41;38;40;39;40;41;39;40;40;38;41;40;39;40;39;40;41;39;40;38;40;41;39;40;39;40;41;39,Australian Championships 2023,29,Australia,
Hrishikesh Karmalkar,1500,Freestyle,LCM,Holding_pace,1145,38;39;37;40;38;39;38;37;40;38;38;39;38;37;40;38;39;38;37;38;38;39;38;37;40;38;39;38;37;40,European Championships Glasgow 2018,24,Great Britain,
Hrishikesh Karmalkar,1500,Freestyle,LCM,Holding_pace,1100,38;39;37;40;38;39;38;37;40;38;38;39;38;37;40;38;39;38;37;38;38;39;38;37;40;38;39;38;37;40,"World Record, World Championships Fukuoka 2023",29,Sweden,
Hrishikesh Karmalkar,50,Freestyle,LCM,Holding_pace,31.43,31.43,Tokyo 2020 Olympics,27,Australia,
Hrishikesh Karmalkar,50,Freestyle,LCM,Holding_pace,31.2,31.2,Eindhoven Swim Cup 2018,28,Netherlands,
Hrishikesh Karmalkar,50,Freestyle,LCM,Holding_pace,30.2,30.2,Pan Pacific Championships 2018,26,Australia,
Hrishikesh Karmalkar,50,Freestyle,LCM,Holding_pace,29.9,29.9,World Championships Barcelona 2013,23,Great Britain,
Hrishikesh Karmalkar,50,Freestyle,LCM,Holding_pace,29.7,29.7,"World Record, World Championships Rome 2009",23,Germany,
Hrishikesh Karmalkar,100,Freestyle,LCM,Holding_pace,73.4,36.7;36.7,Olympics Athens 2004,22,Australia,
Hrishikesh Karmalkar,100,Freestyle,LCM,Holding_pace,73,36.5;36.5,London 2012 Olympics,20,China,
Hrishikesh Karmalkar,100,Freestyle,LCM,Holding_pace,71,35.5;35.5,World Championships Fukuoka 2001,18,Australia,
Hrishikesh Karmalkar,100,Freestyle,LCM,Holding_pace,69,34.5;34.5,Commonwealth Games Manchester 2002,22,Australia,
Hrishikesh Karmalkar,100,Freestyle,LCM,Holding_pace,67,33.5;33.5,World Championships Fukuoka 2023 – WR,22,Australia,
Hrishikesh Karmalkar,100,Freestyle,LCM,Holding_pace,65,32.5;32.5,Rio 2016 Olympics,19,USA,
Hrishikesh Karmalkar,200,Freestyle,LCM,Holding_pace,162,41;40;41;40   ,Canadian Trials 2023,16,Canada,
Hrishikesh Karmalkar,200,Freestyle,LCM,Holding_pace,160,40;40;40;40   ,World Championships Kazan 2015,18,USA,
Hrishikesh Karmalkar,200,Freestyle,LCM,Holding_pace,155,39;39;39;38   ,Tokyo 2020 Olympics,20,Australia,
Hrishikesh Karmalkar,200,Freestyle,LCM,Holding_pace,152,38;38;38;38   ,"World Record, World Championships Rome 2009",22,China,
Hrishikesh Karmalkar,200,Freestyle,LCM,Holding_pace,151,38;38;38;37   ,Pan Pacific Championships Yokohama 2002,22,Australia,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,275,34;34;35;34;34;35;34;35   ,Australian Championships 2015,19,Australia,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,271,34;34;34;34;34;34;34;33   ,Tokyo 2020 Olympics,21,USA,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,271,34;34;34;34;34;34;34;33   ,European Championships Glasgow 2018,22,Ukraine,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,270,34;34;34;34;34;33;34;33   ,Rio 2016 Olympics – WR,19,USA,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,266,33;33;33;34;33;33;34;33   ,World Championships Budapest 2022,25,USA,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,264,33;33;33;33;33;33;33;33   ,Beijing 2008 Olympics,19,Great Britain,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,263,33;33;33;33;33;33;32;33   ,World Championships Rome 2009,21,Denmark,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,259,32;32;33;32;33;32;32;33   ,Australian Championships 2021,20,Australia,
Hrishikesh Karmalkar,400,Freestyle,LCM,Holding_pace,255,32;32;32;32;32;32;31;32   ,World Championships Shanghai 2011 – WR,19,China,
