Full Name,Distance,Stroke,pool,Strategy,Final time in seconds,"add splits per 50 with (;) between them
 (eg. ""33.46; 35.67; 36.88; 33.84"")
 do not put words in this question",notes,athlete age,Country,IM stroke labels
Nishtaa Shetty,200,Individual Medley,LCM,U_shaped,166.5,33.46; 41.77; 49.40; 38.66,World Aquatics Championships Singapore 2025 – World Record (July 2025),23,France,Fly; Back; Breast; Free
Shreya suresh pujar�,200,Individual Medley,SCM,Don't Know,166,33;40;45;36,"World Championships Shanghai 2011 – Former WR (July 28, 2011)",27,USA,Fly; Back; Breast; Free
J T Surya,200,Individual Medley,SCM,U_shaped,129,27;32;38;30,World Championships Shanghai 2011 Final (July 2011),26,USA,Fly; Back; Breast; Free
Abhijeet Singh,400,Individual Medley,SCM,Holding_pace,270.19,32.27;32.77;34.27;34.27;34.97;35.07;32.77;33.80   ,World Aquatics Championships Singapore 2025 Final (July 2025),25,USA,Fly; Back; Breast; Free
Hrishikesh karmalkar,200,Individual Medley,LCM,Don't Know,180,38;47;53;43,"Asian Games Hangzhou 2023 – Asian Record (Sept 24, 2023)",29,China,Fly; Back; Breast; Free
Hrishikesh karmalkar,200,Individual Medley,LCM,Don't Know,177,37;46;53;42,"Canadian Trials Victoria 2025 – World Record (June 9, 2025)",18,Canada,Fly; Back; Breast; Free
Hrishikesh karmalkar,200,Individual Medley,LCM,Don't Know,175,36;45;53;42,"World Championships Kazan 2015 – Former WR (Aug 3, 2015)",26,Hungary,Fly; Back; Breast; Free
Hrishikesh karmalkar,200,Individual Medley,LCM,Don't Know,174,36;45;53;41,"World Championships Rome 2009 (July 27, 2009)",20,USA,Fly; Back; Breast; Free
Hrishikesh karmalkar,200,Individual Medley,LCM,Don't Know,170,35;44;51;40,"Australian Trials Brisbane 2024 (June 10, 2024)",22,Australia,Fly; Back; Breast; Free
Hrishikesh karmalkar,200,Individual Medley,LCM,Don't Know,165,34;43;49;39,World Championships Doha 2024 (Feb 2024),22,USA,Fly; Back; Breast; Free
Hrishikesh karmalkar,200,Individual Medley,LCM,Don't Know,160,33;41;48;38,"World Championships Fukuoka 2023 – World Record (July 22, 2023)",21,France,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,360,43.50;44.00;45.50;45.50;46.20;46.30;44.00;45.00   ,"Olympic Games Beijing 2008 – WR at the time (Aug 10, 2008)",23,USA,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,355,42.88;43.38;44.88;44.88;45.58;45.67;43.38;44.35   ,"Olympic Games London 2012 (July 28, 2012)",27,USA,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,353,42.62;43.12;44.62;44.62;45.33;45.42;43.12;44.15   ,"World Championships Budapest 2017 (July 30, 2017)",23,USA,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,348,42.00;42.50;44.00;44.00;44.70;44.80;42.50;43.50   ,"Olympic Games Rio 2016 (Aug 6, 2016)",21,Japan,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,346,41.75;42.25;43.75;43.75;44.45;44.55;42.25;43.25   ,"Canadian Trials Victoria 2025 – World Record (June 11, 2025)",18,Canada,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,340,41.00;41.50;43.00;43.00;43.70;43.80;41.50;42.50  ,"Olympic Games Rio 2016 – World/Olympic Record then (Aug 6, 2016)",27,Hungary,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,348,42.00;42.50;44.00;44.00;44.70;44.80;42.50;43.50   ,"Australian Open Championships 2024 (Apr 18, 2024)",22,Australia,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,333,40.12;40.62;42.12;42.12;42.83;42.92;40.62;41.65   ,"Olympic Games London 2012 (July 28, 2012)",16,China,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
Hrishikesh karmalkar,400,Individual Medley,LCM,Holding_pace,330.3,39.79;40.29;41.79;41.79;42.49;42.59;40.29;41.27   ,"Olympic Games Beijing 2008 (Aug 10, 2008)",20,Australia,Fly-1; Fly-2; Back-1; Back-2; Breast-1; Breast-2; Free-1; Free-2
